##FastQC	0.11.6
>>Basic Statistics	pass
#Measure	Value
Filename	Y25_2.fq.gz
File type	Conventional base calls
1111	80-84	-0.012784800597543722
1111	85-89	-0.15123747972047852
1111	90-94	0.04143910821735375
1111	95-99	-0.29961652822223783
1111	100-104	0.16326931853608073
1111	105-109	-0.13895192949172497
1111	110-114	0.3482298507903394
1111	115-119	0.26037907072047517
1111	120-124	0.07854496976395708
1111	125-129	0.17762753523178887
1111	130-134	0.13783079428111833
1111	135-139	0.05677064507669982
1111	140-144	0.35759608382942076
1111	145-149	0.16409840749283688
1111	150	0.5524387832196247
1112	1	0.04499852425993822
1112	2	0.05761686297078228
1112	3	0.3657620986245149
1112	4	0.2137733407422715
1112	5	0.06355129960576988
1112	6	0.18360261912469866
1112	7	0.10207602119865555
1112	8	0.1256943823104706
1112	9	0.10368914645513883
1112	10-14	0.102189434376875
1112	15-19	0.14434386259154763
1112	20-24	0.1973542687148182
1112	25-29	0.16275346544563263
1112	30-34	0.1517501179581089
1112	35-39	0.22559757635723088
1112	40-44	0.20578103705899053
1112	45-49	0.3124842009499815
1112	50-54	0.36211813854261266
1112	55-59	0.34905162108572796
1112	60-64	0.41025308581831155
1112	65-69	0.4373991527134038
1112	70-74	0.41215163077264094
1112	75-79	0.588033333001114
1112	80-84	0.5892476584209092
1112	85-89	0.6668656919361311
1112	90-94	0.7749991561359124
1112	95-99	0.8664717064647505
1112	100-104	0.924263039792983
1112	105-109	1.0056820597248617
1112	110-114	1.2859754623839024
1112	115-119	1.292089141689722
1112	120-124	1.7598366819600493
1112	125-129	1.4442513081631496
1112	130-134	1.5465760437518306
1112	135-139	1.8119071885730875
1112	140-144	1.8469674874047506
1112	145-149	1.887794626718243
1112	150	2.1731200928506347
1113	1	-1.2254259213086733
1113	2	-0.9541275014751314
1113	3	-1.3076897360617679
1113	4	-1.412795533722928
1113	5	-0.8577712361369123
1113	6	-1.141852394266337
1113	7	-0.7321094539187243
1113	8	-0.6358744943084531
1113	9	-0.5173082364169588
1113	10-14	-0.9974253485413911
1113	15-19	-0.8755029374262975
1113	20-24	-0.9977092622675627
1113	25-29	-0.8397200966657721
1113	30-34	-0.8579907558114925
1113	35-39	-1.0521915473470997
1113	40-44	-1.4067531503026132
1113	45-49	-1.4670901319751195
1113	50-54	-1.0292018859819265
1113	55-59	-1.2680857371359764
1113	60-64	-1.7394599980903394
1113	65-69	-1.6751556108804238
1113	70-74	-1.3248336012709814
1113	75-79	-1.3173774051768063
1113	80-84	-1.2833268180544266
1113	85-89	-1.399710703694467
